"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"13",3.64102738660712e-39,5.6701836703555e-31,9.09782114762164e-24,1.50398930994046e-17,2.56164645497071e-12,4.49532109409094e-08,8.12773120471547e-05,0.0151406678897698,0.290594788047748,0.574642436412697,0.117077827591247,0.00245764246556882,5.31532514938694e-06,0,0,0,0,0,0,0,0,0,0,0,0
"14",2.40889489242396e-48,3.64102738660712e-39,5.6701836703555e-31,9.09782114762164e-24,1.50398930994046e-17,2.56164645497071e-12,4.49532109409094e-08,8.12773120471547e-05,0.0151406678897698,0.290594788047748,0.574642436412697,0.117077827591247,0.00245764246556882,5.31532514938694e-06,0,0,0,0,0,0,0,0,0,0,0
"15",1.64202151246542e-58,2.40889489242396e-48,3.64102738660712e-39,5.6701836703555e-31,9.09782114762164e-24,1.50398930994046e-17,2.56164645497071e-12,4.49532109409094e-08,8.12773120471547e-05,0.0151406678897698,0.290594788047748,0.574642436412697,0.117077827591247,0.00245764246556882,5.31532514938694e-06,0,0,0,0,0,0,0,0,0,0
"16",1.15320607352634e-69,1.64202151246542e-58,2.40889489242396e-48,3.64102738660712e-39,5.6701836703555e-31,9.09782114762164e-24,1.50398930994046e-17,2.56164645497071e-12,4.49532109409094e-08,8.12773120471547e-05,0.0151406678897698,0.290594788047748,0.574642436412697,0.117077827591247,0.00245764246556882,5.31532514938694e-06,0,0,0,0,0,0,0,0,0
"17",8.34453395063709e-82,1.15320607352634e-69,1.64202151246542e-58,2.40889489242396e-48,3.64102738660712e-39,5.6701836703555e-31,9.09782114762164e-24,1.50398930994046e-17,2.56164645497071e-12,4.49532109409094e-08,8.12773120471547e-05,0.0151406678897698,0.290594788047748,0.574642436412697,0.117077827591247,0.00245764246556882,5.31532514938694e-06,0,0,0,0,0,0,0,0
"18",6.22105924867878e-95,8.34453395063709e-82,1.15320607352634e-69,1.64202151246542e-58,2.40889489242396e-48,3.64102738660712e-39,5.6701836703555e-31,9.09782114762164e-24,1.50398930994046e-17,2.56164645497071e-12,4.49532109409094e-08,8.12773120471547e-05,0.0151406678897698,0.290594788047748,0.574642436412697,0.117077827591247,0.00245764246556882,5.31532514940056e-06,0,0,0,0,0,0,0
"19",4.7785229447871e-109,6.22105924867878e-95,8.34453395063709e-82,1.15320607352634e-69,1.64202151246542e-58,2.40889489242396e-48,3.64102738660712e-39,5.6701836703555e-31,9.09782114762164e-24,1.50398930994046e-17,2.56164645497071e-12,4.49532109409094e-08,8.12773120471547e-05,0.0151406678897698,0.290594788047748,0.574642436412697,0.117077827591247,0.00245764246557511,5.3153253883415e-06,0,0,0,0,0,0
"20",3.78172635697859e-124,4.7785229447871e-109,6.22105924867878e-95,8.34453395063709e-82,1.15320607352634e-69,1.64202151246542e-58,2.40889489242396e-48,3.64102738660712e-39,5.6701836703555e-31,9.09782114762164e-24,1.50398930994046e-17,2.56164645497071e-12,4.49532109409094e-08,8.12773120471547e-05,0.0151406678897698,0.290594788047748,0.574642436412697,0.117077827591547,0.00245764257605404,5.31575743883705e-06,0,0,0,0,0
"21",3.08356857955471e-140,3.78172635697859e-124,4.7785229447871e-109,6.22105924867878e-95,8.34453395063709e-82,1.15320607352634e-69,1.64202151246542e-58,2.40889489242396e-48,3.64102738660712e-39,5.6701836703555e-31,9.09782114762164e-24,1.50398930994046e-17,2.56164645497071e-12,4.49532109409094e-08,8.12773120471547e-05,0.0151406678897698,0.290594788047748,0.574642436414169,0.117077832854572,0.00245784234288209,5.39748562240695e-06,0,0,0,0
"22",2.59050365639456e-157,3.08356857955471e-140,3.78172635697859e-124,4.7785229447871e-109,6.22105924867878e-95,8.34453395063709e-82,1.15320607352634e-69,1.64202151246542e-58,2.40889489242396e-48,3.64102738660712e-39,5.6701836703555e-31,9.09782114762164e-24,1.50398930994046e-17,2.56164645497071e-12,4.49532109409094e-08,8.12773120471547e-05,0.0151406678897698,0.290594788048492,0.574642462246193,0.117087349400034,0.00249563093509989,7.65694845756327e-06,0,0,0
"23",2.24223895852073e-175,2.59050365639456e-157,3.08356857955471e-140,3.78172635697859e-124,4.7785229447871e-109,6.22105924867878e-95,8.34453395063709e-82,1.15320607352634e-69,1.64202151246542e-58,2.40889489242396e-48,3.64102738660712e-39,5.6701836703555e-31,9.09782114762164e-24,1.50398930994046e-17,2.56164645497071e-12,4.49532109409094e-08,8.12773120471547e-05,0.0151406678898086,0.290594801111662,0.57468917143941,0.118887532439908,0.00354033688572177,4.44645326061981e-05,0,0
"24",1.9996162856316e-194,2.24223895852073e-175,2.59050365639456e-157,3.08356857955471e-140,3.78172635697859e-124,4.7785229447871e-109,6.22105924867878e-95,8.34453395063709e-82,1.15320607352634e-69,1.64202151246542e-58,2.40889489242396e-48,3.64102738660712e-39,5.6701836703555e-31,9.09782114762164e-24,1.50398930994046e-17,2.56164645497071e-12,4.49532109409094e-08,8.12773120473629e-05,0.0151406685704303,0.290618421796879,0.583524845873289,0.168655513293115,0.0205590289349027,0.00215810647239593,0
"25",1.8372934332122e-214,1.9996162856316e-194,2.24223895852073e-175,2.59050365639456e-157,3.08356857955471e-140,3.78172635697859e-124,4.7785229447871e-109,6.22105924867878e-95,8.34453395063709e-82,1.15320607352634e-69,1.64202151246542e-58,2.40889489242396e-48,3.64102738660712e-39,5.6701836703555e-31,9.09782114762164e-24,1.50398930994046e-17,2.56164645497071e-12,4.49532109410246e-08,8.12773157010392e-05,0.015141899263357,0.295086593266081,0.827796492872705,0.979396506532491,0.997841893527604,1
