"","Year","Temperature","Size","stock"
"1",1982,1.72298941479744,70.7312676704578,"Snow"
"2",1983,0.985573428511213,68.9929169679015,"Snow"
"3",1984,-0.266732166623381,65.418506965175,"Snow"
"4",1985,0.707163776339134,69.5997567867367,"Snow"
"5",1986,-0.0927784175651234,57.266450786554,"Snow"
"6",1987,1.64772728199779,55.3907976610083,"Snow"
"7",1988,-0.051022958303546,60.819470252801,"Snow"
"8",1989,1.96903375449375,67.0561090745886,"Snow"
"9",1990,0.194249989147492,75.4564303785611,"Snow"
"10",1991,0.954344640372706,64.9190239135973,"Snow"
"11",1992,0.620659735994983,56.4715414887192,"Snow"
"12",1993,0.954147604999464,51.1994305448946,"Snow"
"13",1994,-0.83460259560364,53.9197735833865,"Snow"
"14",1995,-0.328065758651993,61.9766728326019,"Snow"
"15",1996,1.52049564355142,72.9414728680361,"Snow"
"16",1997,0.882322560336321,81.8781090435838,"Snow"
"17",1998,1.74899425777419,76.7329294242653,"Snow"
"18",1999,-0.404101065295276,69.3516201571936,"Snow"
"19",2000,0.341945124647089,59.8055828924644,"Snow"
"20",2001,0.660774024960937,65.0138439318688,"Snow"
"21",2002,1.21254440125923,71.6241475715463,"Snow"
"22",2003,1.16074660721476,57.5273127748372,"Snow"
"23",2004,0.828536440599621,52.1054260122373,"Snow"
"24",2005,1.12310972382428,62.3057180085781,"Snow"
"25",2006,-0.783005022711688,65.1030097705291,"Snow"
"26",2007,-0.494654067416851,67.8111544212971,"Snow"
"27",2008,-0.449368624249048,70.3480037607301,"Snow"
"28",2009,-0.507371390812143,64.7870192424039,"Snow"
"29",2010,-0.0991549818939974,54.6828127549672,"Snow"
"30",2011,0.857419103130374,60.9886092064761,"Snow"
"31",2012,-0.415905138446229,61.0835941343372,"Snow"
"32",2013,-0.192959908021567,62.627021985751,"Snow"
"33",2014,1.70082769882111,63.9845506365215,"Snow"
"34",2015,-0.251082896637833,50.4552793066524,"Snow"
"35",2016,-0.101116381411659,46.0729011344355,"Snow"
"36",2017,-0.1905380159618,49.4580038096508,"Snow"
"37",2018,3.24869591958247,56.7646274715709,"Snow"
"38",2019,2.48292308307167,70.1864229168292,"Snow"
"39",2021,2.33028945661402,81.0201179135141,"Snow"
"40",2022,-0.399459905357351,53.4569403923553,"Snow"
"41",2023,-0.801218229540623,45.8403720166978,"Snow"
"42",2024,0.359837564215343,50.9857183289537,"Snow"
"43",2025,0.610756527043473,58.5770944566854,"Snow"
"44",1975,1.65705968437029,113.338434324262,"Tanner"
"45",1976,1.90573398995534,98.3202085469946,"Tanner"
"46",1977,3.5134269509033,91.759830459052,"Tanner"
"47",1978,3.52185969964643,90.083270874932,"Tanner"
"48",1979,4.21106797889755,93.2781561581405,"Tanner"
"49",1980,3.56607237606955,85.2691839402652,"Tanner"
"50",1981,3.89836573216335,94.3938019351907,"Tanner"
"51",1982,3.17120038811458,99.4357623035167,"Tanner"
"52",1983,3.69167776210497,71.2324223934053,"Tanner"
"53",1984,3.20227814401613,76.8100714242663,"Tanner"
"54",1985,2.83164629688871,84.6365377520724,"Tanner"
"55",1986,1.97303830919013,77.7734387404634,"Tanner"
"56",1987,3.43554288216926,74.4934002757659,"Tanner"
"57",1988,2.30086784925634,82.0935324345651,"Tanner"
"58",1989,2.61061479054431,80.4642348634977,"Tanner"
"59",1990,3.05885761516394,90.5221189555064,"Tanner"
"60",1991,3.1169068416841,93.7579579471728,"Tanner"
"61",1992,2.29146703911467,103.217336562993,"Tanner"
"62",1993,3.29390524725405,103.060219396711,"Tanner"
"63",1994,2.3859984764259,100.350201289044,"Tanner"
"64",1995,1.90273177319359,99.6260277755528,"Tanner"
"65",1996,3.09087356337517,92.8197962635042,"Tanner"
"66",1997,2.69339258067196,72.7517851153158,"Tanner"
"67",1998,3.53359571340902,69.6052823588874,"Tanner"
"68",1999,2.16065226780935,65.9748424497443,"Tanner"
"69",2000,2.71026522001844,70.3468961558086,"Tanner"
"70",2001,3.64546327237188,57.3713735685903,"Tanner"
"71",2002,3.35652048438737,63.7898076001156,"Tanner"
"72",2003,4.39525535768377,70.0714583448252,"Tanner"
"73",2004,3.53238571561216,66.7414275510934,"Tanner"
"74",2005,3.65713653603802,71.625466337309,"Tanner"
"75",2006,2.08513229092635,80.3175642624028,"Tanner"
"76",2007,1.42959847823304,86.124968521555,"Tanner"
"77",2008,1.99489652777518,97.3626246428001,"Tanner"
"78",2009,1.85092787380524,81.5555077471182,"Tanner"
"79",2010,1.67074024697231,78.591708435667,"Tanner"
"80",2011,2.49583984227679,70.0103730674544,"Tanner"
"81",2012,0.246328519053131,78.3513598421405,"Tanner"
"82",2013,1.27188839098373,87.733359063491,"Tanner"
"83",2014,3.36727234467623,93.3048753680414,"Tanner"
"84",2015,4.01720943889295,96.590691837388,"Tanner"
"85",2016,4.7827035652321,97.015821777692,"Tanner"
"86",2017,3.09638009605872,84.8475778110013,"Tanner"
"87",2018,4.15934930007918,65.3885171140012,"Tanner"
"88",2019,4.31733932844989,62.6793259377027,"Tanner"
"89",2021,3.75802193436737,69.1398254102673,"Tanner"
"90",2022,2.81558822365913,64.271178887042,"Tanner"
"91",2023,3.3094515762648,55.1472489983305,"Tanner"
"92",2024,2.85346819835248,67.3752194584171,"Tanner"
"93",2025,3.38870091511359,73.4141551610366,"Tanner"
"94",1975,1.91386772322957,103.033049992177,"BBRKC"
