"","stock","est_m","up_m","dn_m","sd","Year"
"1","BBRKC",0.1266725333603,0.536006173636029,0.029936093084652,0.73599,1975
"2","BBRKC",0.208442719939034,0.689042862623466,0.0630561171915443,0.61002,1976
"3","BBRKC",0.309876948694352,0.813174788936574,0.118084973413522,0.49223,1977
"4","BBRKC",0.496545578556137,1.06601564287204,0.231288830733645,0.3898,1978
"5","BBRKC",0.320600333041596,0.790354262889675,0.130048736841861,0.46035,1979
"6","BBRKC",0.94667446391404,1.51364704445518,0.592074978053758,0.23945,1980
"7","BBRKC",0.462221992526977,1.21557449447484,0.175759833187279,0.49333,1981
"8","BBRKC",0.721660840829371,1.75860696765248,0.296140285331491,0.45445,1982
"9","BBRKC",0.633750458883803,2.00580765480537,0.20023836441805,0.58783,1983
"10","BBRKC",1.06694561392107,2.52638240489986,0.450594075092341,0.43979,1984
"11","BBRKC",0.226852784118135,0.653683231740257,0.0787264888608888,0.53996,1985
"12","BBRKC",0.16046009445587,0.493981110687491,0.0521223207846008,0.5737,1986
"13","BBRKC",0.28320337496055,0.921232897593401,0.087061753654878,0.60181,1987
"14","BBRKC",0.257406173509328,0.711521246740489,0.0931215174026708,0.51875,1988
"15","BBRKC",0.314462640512841,0.824658762025348,0.119912328385918,0.49189,1989
"16","BBRKC",0.346099144559821,0.926659402523228,0.129264989422084,0.50248,1990
"17","BBRKC",0.154691881774081,0.48616383637907,0.0492212223456042,0.58424,1991
"18","BBRKC",0.117058671975771,0.370227054776136,0.037011700003979,0.58747,1992
"19","BBRKC",0.148052253994691,0.499725465676667,0.043863023636844,0.62066,1993
"20","BBRKC",0.148399101922848,0.474231348193495,0.0464378694816318,0.59275,1994
"21","BBRKC",0.142835737183201,0.46269499503318,0.0440939453326167,0.59968,1995
"22","BBRKC",0.152645048083982,0.482768324414662,0.0482643734607321,0.58746,1996
"23","BBRKC",0.214251654338672,0.64741226024711,0.0709034632265642,0.5642,1997
"24","BBRKC",0.340295813476589,0.881504828115845,0.131367676019666,0.48562,1998
"25","BBRKC",0.273785589225039,0.7704920055045,0.0972866017191455,0.5279,1999
"26","BBRKC",0.145415517026474,0.455775734843256,0.0463949064759859,0.58286,2000
"27","BBRKC",0.0789453056368132,0.234119127801405,0.0266204702734778,0.55463,2001
"28","BBRKC",0.0752303905507886,0.23387520917506,0.024199279959544,0.57869,2002
"29","BBRKC",0.0956614388070508,0.29951439474319,0.0305531588305847,0.58232,2003
"30","BBRKC",0.183421224121897,0.550461644048364,0.0611184190980969,0.5607,2004
"31","BBRKC",0.469371834763339,1.0569979844212,0.20842983857698,0.41418,2005
"32","BBRKC",0.434130542907743,0.991297686252279,0.190123845641064,0.42126,2006
"33","BBRKC",0.419056300228278,1.00245300370252,0.175178469327151,0.445,2007
"34","BBRKC",0.331446125469837,0.94690813200519,0.116016042502806,0.53558,2008
"35","BBRKC",0.150100531406383,0.482024662127913,0.0467406987622136,0.59525,2009
"36","BBRKC",0.100918703712046,0.315424098885158,0.032288543566951,0.58143,2010
"37","BBRKC",0.112497981468596,0.380015818308674,0.0333033395579041,0.62106,2011
"38","BBRKC",0.10831301031623,0.356045623657549,0.0329500137742107,0.60716,2012
"39","BBRKC",0.116179368728129,0.337640891325741,0.0399763359973028,0.54431,2013
"40","BBRKC",0.321598952125135,0.873127924075123,0.118454447688797,0.50958,2014
"41","BBRKC",0.634384526323567,1.26463153111714,0.318230027748296,0.35198,2015
"42","BBRKC",0.665910501236278,1.31116125664807,0.338201570103116,0.34567,2016
"43","BBRKC",0.324993531476403,0.825509588751613,0.127946176447484,0.47561,2017
"44","BBRKC",0.16602614550263,0.492673793704225,0.0559491520407699,0.55495,2018
"45","BBRKC",0.135083793567689,0.421059300047166,0.0433374379394874,0.58004,2019
"46","BBRKC",0.127054392094803,0.405170545707982,0.0398420337351339,0.59168,2020
"47","BBRKC",0.122531149461868,0.379172663926961,0.0395964266858085,0.57634,2021
"48","BBRKC",0.122596108183623,0.382232277073488,0.0393211317914972,0.58017,2022
"49","BBRKC",0.103845610214124,0.307975205768668,0.0350155160504838,0.55465,2023
"50","BBRKC",0.132407631157361,0.430574033041726,0.0407172273368484,0.60165,2024
"51","BBRKC",0.223197109238336,1.45214358608246,0.0343058014715639,0.95548,2025
"52","PIRKC",0.084280900961905,0.409643503983336,0.0173401267147627,0.8067,1976
"53","PIRKC",0.103560427092552,0.311073394334676,0.0344766291650561,0.56116,1977
"54","PIRKC",0.135469331509964,0.398366517190523,0.0460679775729733,0.55032,1978
"55","PIRKC",0.199484248630969,0.598140262415721,0.0665294880688111,0.56025,1979
"56","PIRKC",0.331022145834089,0.974734259005765,0.112415932876283,0.55101,1980
"57","PIRKC",0.481716265041746,1.07972718203695,0.214915919378816,0.41179,1981
"58","PIRKC",0.619582137461753,1.28684514639064,0.298312525122693,0.37291,1982
"59","PIRKC",0.535995239221618,1.37232118258358,0.209346689473506,0.47966,1983
"60","PIRKC",0.310572472203837,0.885554213527322,0.108920785444185,0.53459,1984
"61","PIRKC",0.166671578277046,0.466720640742931,0.0595204338105594,0.52536,1985
"62","PIRKC",0.1066929709075,0.287867204692731,0.0395438933490853,0.5064,1986
