# pirkc																																														
# start year																																															
1976																																															
# endyr																																															
2023																																															
# number of years																																															
48																																															
# years																																															
1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
# number of sizes																																															
35																																															
# sizes																																															
47.5	52.5	57.5	62.5	67.5	72.5	77.5	82.5	87.5	92.5	97.5	102.5	107.5	112.5	117.5	122.5	127.5	132.5	137.5	142.5	147.5	152.5	157.5	162.5	167.5	172.5	177.5	182.5	187.5	192.5	197.5	202.5	207.5	212.5	217.5													
# numbers																																															
50778.34904	228476.8644	367139.7254	199032.709	452189.3695	83002.78176	352166.4796	144735.0479	76883.43557	16822.6846	38418.88373	18610.95264	1963774.597	1844076.145	7826526.91	3100675.274	1861537.842	3787997.18	3452062.441	5604145.495	683610.6941	3155556.493	1192015.2	9102897.625	1674066.607	6157584.351	1910262.93	1506200.797	2196794.785	302997.4205	1508612.503	1453871.107	1721466.997	923132.6513	1512074.707	1052227.597	1609444.49	1831376.622	3036807.257	3662609.706	1807323.293	1158383.101	1804399.604	1148964.483	0	1278704.383	1327879.391	734939.4997
# numbers at carapace length																																															
0	0	0	0	0	0	0	0	0	0	0	0.057415618	0	0	0	0	0	0.057415618	0	0	0.165574945	0	0.056956917	0	0	0.108228906	0.165842486	0.108159327	0.165574945	0.114831237	0	0	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0	0	0.152513007	0	0.152513007	0	0	0	0	0	0	0	0.127639644	0.152513007	0	0.152513007	0.125077882	0	0	0	0.137230446	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.247003853	0	0.241237907	0	0	0	0	0	0	0	0.25771793	0	0	0.254040311	0	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.517649469	0	0.482350531	0	0	0	0	0	0	0	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0													
0.049954475	0.049954475	0.083938703	0.333711081	0.162352045	0.074483977	0	0	0	0	0	0.023275844	0.105950179	0.047357609	0.046551688	0.011234962	0	0.011234962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
0	0	0	0	0	0.016275331	0.016275331	0.113927317	0.205380662	0.07905606	0.05270404	0.02635202	0.040306756	0.020153378	0.020153378	0.060460134	0.090690201	0.10076689	0.040306756	0.066658776	0	0.040306756	0	0.010226212	0	0	0	0	0	0	0	0	0	0	0													
0	0	0	0	0.007590664	0	0	0	0	0.004706353	0.019222198	0.097771568	0.279745988	0.382041595	0.161091644	0.030362657	0.009876666	0	0	0.007590664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
0	0	0	0.008893551	0.017787103	0	0.009993695	0.008893551	0	0	0	0.019536061	0.009993695	0.089943252	0.078398086	0.206313317	0.198322422	0.182662957	0.072565876	0.056721655	0.019987389	0	0.009993695	0.009993695	0	0	0	0	0	0	0	0	0	0	0													
