fishery,management_area,target,crab_year,sex,size,molting,soft,new,old,very_old,unknown,total
TT06,bristol_bay,tanner_crab,2006,male,137,0,0,4,0,0,0,4
TT06,bristol_bay,tanner_crab,2006,male,138,0,0,5,0,0,0,5
TT06,bristol_bay,tanner_crab,2006,male,139,0,0,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,140,0,0,5,0,0,0,5
TT06,bristol_bay,tanner_crab,2006,male,142,0,0,3,0,0,0,3
TT06,bristol_bay,tanner_crab,2006,male,144,0,0,3,0,0,0,3
TT06,bristol_bay,tanner_crab,2006,male,145,0,0,5,0,0,0,5
TT06,bristol_bay,tanner_crab,2006,male,146,0,0,2,0,0,0,2
TT06,bristol_bay,tanner_crab,2006,male,147,0,0,4,0,0,0,4
TT06,bristol_bay,tanner_crab,2006,male,148,0,0,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,149,0,0,5,0,0,0,5
TT06,bristol_bay,tanner_crab,2006,male,150,0,0,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,151,0,0,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,152,0,0,2,0,0,0,2
TT06,bristol_bay,tanner_crab,2006,male,153,0,0,2,0,0,0,2
TT06,bristol_bay,tanner_crab,2006,male,154,0,0,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,155,0,0,2,0,0,0,2
TT06,bristol_bay,tanner_crab,2006,male,156,0,0,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,157,0,0,3,0,0,0,3
TT06,bristol_bay,tanner_crab,2006,male,158,0,0,0,0,1,0,1
TT06,bristol_bay,tanner_crab,2006,male,159,0,0,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,162,0,0,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,164,0,0,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,165,0,0,1,0,1,0,2
TT06,bristol_bay,tanner_crab,2006,male,167,0,0,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,170,0,0,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,female,83,0,0,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,female,110,0,0,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,female,112,0,0,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,female,116,0,0,1,0,0,0,1
TT07,bristol_bay,tanner_crab,2007,male,109,0,0,1,0,0,0,1
TT07,bristol_bay,tanner_crab,2007,male,110,0,0,1,0,0,0,1
TT07,bristol_bay,tanner_crab,2007,male,115,0,0,1,0,0,0,1
TT07,bristol_bay,tanner_crab,2007,male,118,0,0,1,0,0,0,1
